1	20.135651ms
2	20.153811ms
3	20.112449ms
4	20.107482ms
5	20.248954ms
6	20.226911ms
7	20.273401ms
8	26.112285ms
9	23.163832ms
10	23.188924ms
11	27.130972ms
12	32.23334ms
13	32.201295ms
14	38.974637ms
15	31.487138ms
16	33.442426ms
17	23.217289ms
18	40.611403ms
19	40.365854ms
20	33.116609ms
21	40.176999ms
22	38.232519ms
23	32.109822ms
24	42.8363ms
25	40.414527ms
26	26.955126ms
27	30.326007ms
28	40.325455ms
29	40.634485ms
30	40.221613ms
31	39.224357ms
32	40.577057ms
33	41.120984ms
34	40.331151ms
35	46.177672ms
36	40.368988ms
37	46.09908ms
38	46.388825ms
39	46.117786ms
40	40.775914ms
41	46.105012ms
42	40.696497ms
43	50.467499ms
44	39.077257ms
45	40.597708ms
46	35.82759ms
47	44.26879ms
48	40.419221ms
49	40.674527ms
50	40.65899ms
51	47.490932ms
52	53.18686ms
53	45.260613ms
54	47.802053ms
55	47.114528ms
56	49.854369ms
57	43.472565ms
58	49.456186ms
59	44.990125ms
60	42.126939ms
61	44.17687ms
62	47.360403ms
63	43.2981ms
64	47.606203ms
65	45.788277ms
66	47.840583ms
67	40.325843ms
68	40.347118ms
69	47.417795ms
70	41.158057ms
71	50.608371ms
72	42.0923ms
73	41.692764ms
74	51.375611ms
75	37.003674ms
76	51.930937ms
77	40.205874ms
78	47.292153ms
79	53.220085ms
80	46.469114ms
81	65.933184ms
82	60.618544ms
83	55.612631ms
84	59.97746ms
85	48.034515ms
86	50.199467ms
87	40.27102ms
88	57.378168ms
89	46.222862ms
90	46.361963ms
91	52.493614ms
92	51.365214ms
93	48.573083ms
94	42.671228ms
95	51.786567ms
96	49.525231ms
97	45.898923ms
98	53.211317ms
99	50.274962ms
100	48.8566ms
101	60.042715ms
102	51.831283ms
103	60.191124ms
104	41.890263ms
105	51.271488ms
106	54.702014ms
107	60.45004ms
108	53.360509ms
109	48.178423ms
110	53.172598ms
111	53.447389ms
112	42.790661ms
113	61.059533ms
114	54.01179ms
115	47.190581ms
116	42.105656ms
117	56.200093ms
118	41.363098ms
119	49.077783ms
120	40.434218ms
121	58.749217ms
122	52.179041ms
123	40.353517ms
124	59.137292ms
125	49.782466ms
126	56.972647ms
127	48.015886ms
128	51.287575ms
129	58.085633ms
130	54.568305ms
131	41.386532ms
132	50.808454ms
133	47.176352ms
134	58.398231ms
135	57.699986ms
136	60.066719ms
137	52.664303ms
138	54.457871ms
