1	20.36429ms
2	20.451932ms
3	20.527763ms
4	20.888335ms
5	20.87422ms
6	20.971735ms
7	20.926121ms
8	21.150697ms
9	20.95959ms
10	21.024309ms
11	20.904176ms
12	21.306306ms
13	21.517578ms
14	25.357159ms
15	21.684733ms
16	21.54421ms
17	21.216733ms
18	21.421251ms
19	21.804118ms
20	21.635301ms
21	22.965324ms
22	23.782908ms
23	21.424901ms
24	23.600772ms
25	27.661665ms
26	22.325863ms
27	21.618072ms
28	21.768448ms
29	22.20749ms
30	22.021319ms
31	22.313697ms
32	22.247725ms
33	24.735554ms
34	22.101918ms
35	22.437127ms
36	22.290505ms
37	22.397648ms
38	22.502615ms
39	22.981649ms
40	22.98579ms
41	22.975321ms
42	22.602922ms
43	22.480191ms
44	22.51977ms
45	22.480999ms
46	23.115852ms
47	23.417122ms
48	22.76119ms
49	23.076668ms
50	23.348202ms
51	23.45207ms
52	29.080918ms
53	23.62026ms
54	23.534766ms
55	23.343964ms
56	23.821923ms
57	27.528029ms
58	23.798924ms
59	23.640605ms
60	24.414659ms
61	23.628245ms
62	24.123329ms
63	24.841417ms
64	25.265673ms
65	25.071086ms
66	24.182366ms
67	26.541267ms
68	24.623478ms
69	25.928213ms
70	25.09936ms
71	25.071267ms
72	25.204765ms
73	26.193276ms
74	24.627376ms
75	25.420948ms
76	25.054894ms
77	25.449753ms
78	27.211336ms
79	25.789813ms
80	25.438626ms
81	25.420084ms
82	29.253758ms
83	25.222738ms
84	25.287635ms
85	26.106272ms
86	25.912446ms
87	25.66553ms
88	25.973799ms
89	26.764586ms
90	26.431148ms
91	27.310422ms
92	26.134291ms
93	26.661263ms
94	26.079782ms
95	26.854172ms
96	28.009129ms
97	26.418475ms
98	28.393458ms
99	26.885308ms
100	26.698177ms
101	26.582145ms
102	27.025794ms
103	26.774896ms
104	26.609874ms
105	27.294705ms
106	27.626493ms
107	26.792452ms
108	27.625214ms
109	27.551624ms
110	26.762579ms
111	27.438637ms
112	27.398291ms
113	27.470068ms
114	28.018186ms
115	27.120321ms
